finger,servo1_deg,servo2_deg,abduction_deg,flexion_deg,distal_deg,tip_x_mm,tip_y_mm,tip_z_mm,tip_travel_mm
1,-90.0,-90.0,-38.6868,-4.9419,-4.8981,41.883,-16.036,152.108,41.147
2,-90.0,-90.0,-38.6867,-4.9422,-4.8983,41.882,-53.831,141.552,41.147
3,-90.0,-90.0,-38.6868,-4.9421,-4.8982,41.882,-91.567,124.208,41.147
4,-90.0,-90.0,-38.6866,-4.9422,-4.8983,61.112,79.662,83.081,41.148
1,-90.0,-85.0,-38.547,-5.0939,-5.0491,41.665,-16.051,152.38,41.153
2,-90.0,-85.0,-38.5469,-5.0942,-5.0494,41.665,-53.875,141.821,41.153
3,-90.0,-85.0,-38.5471,-5.0941,-5.0493,41.665,-91.645,124.469,41.153
4,-90.0,-85.0,-38.5468,-5.0942,-5.0494,61.363,79.769,82.864,41.154
1,-90.0,-80.0,-38.261,-5.4048,-5.3582,41.217,-16.077,152.936,41.17
2,-90.0,-80.0,-38.261,-5.405,-5.3584,41.216,-53.959,142.372,41.17
3,-90.0,-80.0,-38.2611,-5.4049,-5.3583,41.216,-91.801,125.004,41.17
4,-90.0,-80.0,-38.2608,-5.405,-5.3585,61.877,79.984,82.416,41.171
1,-90.0,-75.0,-37.8285,-5.8748,-5.8256,40.531,-16.104,153.775,41.209
2,-90.0,-75.0,-37.8284,-5.8751,-5.8259,40.53,-54.073,143.203,41.209
3,-90.0,-75.0,-37.8286,-5.875,-5.8258,40.53,-92.023,125.813,41.209
4,-90.0,-75.0,-37.8283,-5.8751,-5.8259,62.656,80.296,81.73,41.209
1,-90.0,-70.0,-37.251,-6.5023,-6.45,39.601,-16.117,154.89,41.285
2,-90.0,-70.0,-37.2509,-6.5026,-6.4502,39.6,-54.202,144.31,41.285
3,-90.0,-70.0,-37.251,-6.5025,-6.4501,39.6,-92.295,126.894,41.285
4,-90.0,-70.0,-37.2508,-6.5026,-6.4502,63.699,80.689,80.799,41.286
1,-90.0,-65.0,-36.5321,-7.2836,-7.2278,38.419,-16.094,156.269,41.421
2,-90.0,-65.0,-36.532,-7.2839,-7.228,38.418,-54.324,145.684,41.421
3,-90.0,-65.0,-36.5321,-7.2838,-7.2279,38.418,-92.595,128.24,41.421
4,-90.0,-65.0,-36.5319,-7.2839,-7.228,65.002,81.139,79.618,41.421
1,-90.0,-60.0,-35.6774,-8.2134,-8.1538,36.98,-16.013,157.894,41.642
2,-90.0,-60.0,-35.6773,-8.2136,-8.1541,36.979,-54.413,147.308,41.643
3,-90.0,-60.0,-35.6774,-8.2135,-8.154,36.979,-92.896,129.839,41.643
4,-90.0,-60.0,-35.6772,-8.2136,-8.1541,66.557,81.619,78.178,41.643
1,-90.0,-55.0,-34.6943,-9.2848,-9.2217,35.277,-15.849,159.741,41.981
2,-90.0,-55.0,-34.6943,-9.285,-9.222,35.277,-54.443,149.163,41.981
3,-90.0,-55.0,-34.6944,-9.285,-9.2219,35.277,-93.167,131.674,41.981
4,-90.0,-55.0,-34.6941,-9.2851,-9.222,68.35,82.096,76.476,41.982
1,-90.0,-50.0,-33.592,-10.4903,-10.424,33.308,-15.574,161.783,42.471
2,-90.0,-50.0,-33.5919,-10.4906,-10.4243,33.308,-54.383,151.222,42.471
3,-90.0,-50.0,-33.5921,-10.4905,-10.4242,33.308,-93.377,133.723,42.471
4,-90.0,-50.0,-33.5918,-10.4906,-10.4242,70.362,82.537,74.507,42.471
1,-90.0,-45.0,-32.3807,-11.8218,-11.7527,31.069,-15.165,163.984,43.147
2,-90.0,-45.0,-32.3807,-11.8221,-11.753,31.069,-54.207,153.454,43.147
3,-90.0,-45.0,-32.3808,-11.822,-11.7529,31.069,-93.493,135.959,43.147
4,-90.0,-45.0,-32.3805,-11.8221,-11.753,72.57,82.905,72.268,43.147
1,-90.0,-40.0,-31.0719,-13.2712,-13.1999,28.56,-14.599,166.306,44.044
2,-90.0,-40.0,-31.0718,-13.2714,-13.2001,28.559,-53.886,155.823,44.044
3,-90.0,-40.0,-31.0719,-13.2713,-13.2001,28.559,-93.485,138.35,44.044
4,-90.0,-40.0,-31.0717,-13.2714,-13.2001,74.946,83.168,69.758,44.045
1,-90.0,-35.0,-29.6773,-14.8305,-14.7577,25.779,-13.857,168.708,45.194
2,-90.0,-35.0,-29.6772,-14.8308,-14.758,25.778,-53.399,158.289,45.194
3,-90.0,-35.0,-29.6773,-14.8307,-14.7579,25.778,-93.323,140.858,45.194
4,-90.0,-35.0,-29.6771,-14.8308,-14.7579,77.457,83.291,66.977,45.194
1,-90.0,-30.0,-28.2093,-16.4926,-16.4189,22.729,-12.924,171.144,46.622
2,-90.0,-30.0,-28.2093,-16.4928,-16.4192,22.728,-52.726,160.809,46.622
3,-90.0,-30.0,-28.2094,-16.4928,-16.4191,22.728,-92.985,143.444,46.622
4,-90.0,-30.0,-28.2091,-16.4928,-16.4191,80.064,83.248,63.928,46.623
1,-90.0,-25.0,-26.6805,-18.2505,-18.1768,19.414,-11.792,173.566,48.348
2,-90.0,-25.0,-26.6804,-18.2508,-18.1771,19.414,-51.853,163.336,48.349
3,-90.0,-25.0,-26.6805,-18.2507,-18.177,19.414,-92.449,146.063,48.349
4,-90.0,-25.0,-26.6803,-18.2508,-18.177,82.727,83.012,60.613,48.349
1,-90.0,-20.0,-25.1031,-20.0983,-20.0255,15.84,-10.457,175.925,50.383
2,-90.0,-20.0,-25.1031,-20.0985,-20.0258,15.839,-50.772,165.822,50.383
3,-90.0,-20.0,-25.1032,-20.0985,-20.0257,15.839,-91.702,148.669,50.383
4,-90.0,-20.0,-25.103,-20.0985,-20.0257,85.401,82.565,57.038,50.384
1,-90.0,-15.0,-23.4895,-22.0303,-21.9597,12.013,-8.923,178.173,52.729
2,-90.0,-15.0,-23.4895,-22.0306,-21.9599,12.013,-49.481,168.217,52.729
3,-90.0,-15.0,-23.4896,-22.0305,-21.9599,12.013,-90.735,151.213,52.729
4,-90.0,-15.0,-23.4894,-22.0306,-21.9599,88.038,81.892,53.212,52.729
1,-90.0,-10.0,-21.8517,-24.0416,-23.9747,7.946,-7.198,180.259,55.38
2,-90.0,-10.0,-21.8516,-24.0419,-23.9749,7.945,-47.984,170.472,55.38
3,-90.0,-10.0,-21.8517,-24.0419,-23.9749,7.945,-89.545,153.644,55.38
4,-90.0,-10.0,-21.8515,-24.0419,-23.9749,90.588,80.985,49.144,55.38
1,-90.0,-5.0,-20.2013,-26.1274,-26.0662,3.651,-5.299,182.134,58.322
2,-90.0,-5.0,-20.2012,-26.1277,-26.0665,3.65,-46.291,172.536,58.322
3,-90.0,-5.0,-20.2013,-26.1277,-26.0665,3.65,-88.136,155.911,58.322
4,-90.0,-5.0,-20.2011,-26.1277,-26.0665,93.0,79.841,44.849,58.322
1,-90.0,0.0,-18.5497,-28.2829,-28.2304,-0.854,-3.245,183.753,61.534
2,-90.0,0.0,-18.5497,-28.2832,-28.2307,-0.855,-44.418,174.361,61.535
3,-90.0,0.0,-18.5498,-28.2831,-28.2307,-0.855,-86.517,157.965,61.535
4,-90.0,0.0,-18.5496,-28.2832,-28.2307,95.224,78.465,40.344,61.535
1,-90.0,5.0,-16.9082,-30.5029,-30.4632,-5.548,-1.064,185.071,64.991
2,-90.0,5.0,-16.9082,-30.5032,-30.4635,-5.549,-42.387,175.899,64.991
3,-90.0,5.0,-16.9082,-30.5032,-30.4635,-5.549,-84.704,159.755,64.991
4,-90.0,5.0,-16.908,-30.5032,-30.4635,97.208,76.866,35.65,64.991
1,-90.0,10.0,-15.2876,-32.7818,-32.7604,-10.404,1.212,186.048,68.66
2,-90.0,10.0,-15.2875,-32.7821,-32.7608,-10.405,-40.224,177.108,68.66
3,-90.0,10.0,-15.2876,-32.7821,-32.7607,-10.405,-82.718,161.236,68.66
4,-90.0,10.0,-15.2874,-32.7821,-32.7608,98.904,75.061,30.794,68.661
1,-90.0,15.0,-13.6985,-35.1126,-35.1171,-15.388,3.549,186.649,72.505
2,-90.0,15.0,-13.6985,-35.1129,-35.1175,-15.389,-37.963,177.951,72.506
3,-90.0,15.0,-13.6985,-35.1129,-35.1175,-15.389,-80.586,162.367,72.506
4,-90.0,15.0,-13.6983,-35.113,-35.1175,100.269,73.07,25.81,72.506
1,-90.0,20.0,-12.1514,-37.487,-37.5273,-20.463,5.908,186.849,76.486
2,-90.0,20.0,-12.1514,-37.4874,-37.5277,-20.464,-35.638,178.396,76.487
3,-90.0,20.0,-12.1515,-37.4874,-37.5277,-20.464,-78.339,163.111,76.487
4,-90.0,20.0,-12.1513,-37.4874,-37.5277,101.262,70.922,20.735,76.487
